kingdom,phylum,class,sublcass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,taxon_name,description,occurrence_status,establishment_means,adding_user_login,first_observation,last_observation,url,created_at,updated_at,taxon_common_name
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Punctoidea,Discidae,,,Discus,Discus whitneyi,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269687,2015-07-05 19:29:39 -1000,2020-02-04 17:47:30 -1000,Forest Disc
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Punctoidea,Discidae,,,Discus,Discus selenitoides,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269705,2015-07-05 19:29:46 -1000,2015-07-05 19:29:46 -1000,File Disc
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Punctoidea,Discidae,,,Discus,Discus rotundatus,,common,introduced,kueda,https://www.inaturalist.org/observations/1207125,https://www.inaturalist.org/observations/41396252,https://www.inaturalist.org/listed_taxa/6269707,2015-07-05 19:29:47 -1000,2020-04-04 13:17:19 -1000,Rounded Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Punctoidea,Discidae,,,Speleodiscoides,Speleodiscoides spirellum,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269713,2015-07-05 19:29:49 -1000,2015-07-05 19:29:49 -1000,Glass Coil
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Punctoidea,Oreohelicidae,,,Oreohelix,Oreohelix californica,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269721,2015-07-05 19:29:52 -1000,2015-07-05 19:29:52 -1000,Clark Mountainsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Punctoidea,Oreohelicidae,,,Oreohelix,Oreohelix handi,"Only as a fossil, maybe extinct",,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269723,2015-07-05 19:29:53 -1000,2015-07-05 19:29:53 -1000,Spring Mountainsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Punctoidea,Oreohelicidae,,,Radiocentrum,Radiocentrum avalonense,Santa Catalina Island,,native,kueda,https://www.inaturalist.org/observations/19048418,https://www.inaturalist.org/observations/32929866,https://www.inaturalist.org/listed_taxa/6269725,2015-07-05 19:29:53 -1000,2019-09-17 17:40:21 -1000,Catalina Mountainsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Punctoidea,Helicodiscidae,,,Lucilla,Lucilla singleyana,,,introduced,kueda,https://www.inaturalist.org/observations/5055092,https://www.inaturalist.org/observations/5055092,https://www.inaturalist.org/listed_taxa/6269727,2015-07-05 19:29:54 -1000,2017-02-05 03:09:51 -1000,Smooth Coil
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Ancotrema,Ancotrema hybridum,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269731,2015-07-05 19:29:55 -1000,2015-07-05 19:29:55 -1000,Oregon Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Ancotrema,Ancotrema sportella,,,native,kueda,https://www.inaturalist.org/observations/2675151,https://www.inaturalist.org/observations/25535727,https://www.inaturalist.org/listed_taxa/6269734,2015-07-05 19:29:56 -1000,2020-02-21 18:37:35 -1000,Beaded Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Ancotrema,Ancotrema sportella sinkyonum,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269739,2015-07-05 19:30:06 -1000,2015-07-05 19:30:06 -1000,
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Ancotrema,Ancotrema voyanum,,,native,kueda,https://www.inaturalist.org/observations/2675119,https://www.inaturalist.org/observations/2675119,https://www.inaturalist.org/listed_taxa/6269741,2015-07-05 19:30:07 -1000,2016-02-12 11:50:18 -1000,Hooded Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Ancotrema,Ancotrema zopherum,,,native,kueda,https://www.inaturalist.org/observations/5460173,https://www.inaturalist.org/observations/5461381,https://www.inaturalist.org/listed_taxa/6269746,2015-07-05 19:30:11 -1000,2017-03-28 17:42:09 -1000,Dusky Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema minimum,,,native,kueda,https://www.inaturalist.org/observations/59436,https://www.inaturalist.org/observations/41729465,https://www.inaturalist.org/listed_taxa/6269748,2015-07-05 19:30:11 -1000,2020-04-09 10:03:08 -1000,California Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema vancouverense,,,native,kueda,https://www.inaturalist.org/observations/45134,https://www.inaturalist.org/observations/40315399,https://www.inaturalist.org/listed_taxa/6269765,2015-07-05 19:30:25 -1000,2020-03-20 15:04:30 -1000,Robust Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema caelatum,,,native,kueda,https://www.inaturalist.org/observations/3459078,https://www.inaturalist.org/observations/24196314,https://www.inaturalist.org/listed_taxa/6269769,2015-07-05 19:30:28 -1000,2019-05-02 10:51:35 -1000,Slotted Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema alameda,,,native,kueda,https://www.inaturalist.org/observations/2623380,https://www.inaturalist.org/observations/19284590,https://www.inaturalist.org/listed_taxa/6269774,2015-07-05 19:30:31 -1000,2018-12-30 16:44:17 -1000,Alameda Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema catalinense,Santa Catalina Island,,native,kueda,https://www.inaturalist.org/observations/11843010,https://www.inaturalist.org/observations/11843010,https://www.inaturalist.org/listed_taxa/6269783,2015-07-05 19:30:34 -1000,2018-05-01 11:12:33 -1000,Santa Catalina Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema costatum,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269785,2015-07-05 19:30:35 -1000,2015-07-05 19:30:35 -1000,Costate Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema duranti,,,native,kueda,https://www.inaturalist.org/observations/2675112,https://www.inaturalist.org/observations/39394055,https://www.inaturalist.org/listed_taxa/6269787,2015-07-05 19:30:36 -1000,2020-03-01 10:59:32 -1000,Ribbed Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema duranti continentis,,,native,kueda,https://www.inaturalist.org/observations/2675112,https://www.inaturalist.org/observations/2675112,https://www.inaturalist.org/listed_taxa/6269804,2015-07-05 19:30:42 -1000,2020-02-28 13:26:39 -1000,
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema duranti duranti,"Channel islands only: Santa Cruz, Santa Barbara, and San Nicolas Islands",,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269819,2015-07-05 19:30:48 -1000,2015-07-05 19:30:48 -1000,
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema guadalupense,Also on Isla Guadalupe in Mexico,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269822,2015-07-05 19:30:49 -1000,2020-03-01 06:58:37 -1000,Guadalupe Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema keepi,,,native,kueda,https://www.inaturalist.org/observations/2675209,https://www.inaturalist.org/observations/2675209,https://www.inaturalist.org/listed_taxa/6269824,2015-07-05 19:30:50 -1000,2020-04-02 09:35:15 -1000,Glassy Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema mokelumnense,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269836,2015-07-05 19:30:54 -1000,2017-03-28 17:14:15 -1000,Mokelumne Lancetooth Snail
