longitude,latitude,year,Egregia_menziesii,Eisenia_arborea,Pelvetiopsis_limitata,Phyllospadix_spp,Sargassum_muticum,Silvetia_compressa
-124.40077,43.30894089,2012,1,0,1,1,1,0
-124.36317,40.3409996,2012,0,0,1,0,0,0
-124.27531,47.30255127,2012,0,0,0,1,0,0
-124.14257,41.68999863,2012,1,0,1,0,0,0
-124.12784,41.65248871,2012,0,0,0,1,0,0
-124.11443,44.24456024,2012,0,0,1,1,0,0
-124.10643,41.59476089,2012,0,0,1,0,0,0
-124.05875,44.83863831,2012,1,0,1,1,0,0
-123.48864,38.73049927,2012,0,0,1,0,0,0
-123.07365,38.31819916,2012,0,0,1,0,0,0
-122.23493,37.04425049,2012,1,0,1,1,0,1
-122.15503,36.9801712,2012,0,0,1,1,0,1
-122.06457,36.94841003,2012,0,0,1,0,0,1
-121.94688,36.51366043,2012,0,0,0,0,0,1
-121.94053,36.56087112,2012,0,0,1,1,0,1
-121.9073,36.62120056,2012,0,0,0,1,0,1
-121.86317,36.28060913,2012,0,0,1,1,0,1
-121.49034,35.97964859,2012,1,0,1,1,0,1
-121.31866,35.72882843,2012,0,0,0,1,0,1
-120.94982,35.44739151,2012,0,0,0,1,0,1
-120.88325,35.28966141,2012,0,0,1,0,0,1
-120.69668,35.1688118,2012,0,0,0,1,0,1
-120.63954,34.88122177,2012,1,0,0,0,0,1
-120.61546,34.73038101,2012,0,0,0,1,0,1
-120.61167,34.55387878,2012,0,0,0,0,0,1
-120.27738,34.4671402,2012,1,0,0,1,0,0
-120.1454,34.47343826,2012,1,0,0,1,0,0
-119.87804,34.40692902,2012,0,0,0,1,0,0
-119.51407,34.38703156,2012,1,0,0,1,0,0
-119.44073,34.35548019,2012,1,0,0,1,0,0
-118.99779,34.06612015,2012,1,0,0,0,0,0
-118.79225,34.01200867,2012,1,0,0,1,0,0
-118.31961,33.71538925,2012,0,0,0,0,0,0
-118.28599,33.70679092,2012,1,0,0,1,0,1
-117.83773,33.57078171,2012,1,0,0,1,0,1
-117.79941,33.54476929,2012,0,0,0,0,0,1
-117.75793,33.51335144,2012,0,0,0,0,0,1
-117.71475,33.4598999,2012,0,0,0,0,0,1
-124.40077,43.30894089,2013,1,0,1,1,1,0
-124.38786,42.22814178,2013,0,0,1,1,0,0
-124.36317,40.3409996,2013,0,0,1,0,0,0
-124.27531,47.30255127,2013,0,0,0,1,0,0
-124.14257,41.68999863,2013,1,0,1,0,0,0
-124.12784,41.65248871,2013,0,0,0,1,0,0
-124.11443,44.24456024,2013,0,0,1,1,0,0
-124.10643,41.59476089,2013,0,0,1,0,0,0
-124.07366,40.02254105,2013,0,0,1,0,0,0
-124.05875,44.83863831,2013,1,0,1,1,0,0
-123.98031,45.91809082,2013,0,0,1,1,0,0
-123.78887,39.60411835,2013,1,0,1,1,0,0
-123.48864,38.73049927,2013,0,0,1,0,0,0
-123.07365,38.31819916,2013,0,0,1,0,0,0
-122.23493,37.04425049,2013,1,0,1,1,0,1
-122.15503,36.9801712,2013,1,0,1,1,0,0
-122.06457,36.94841003,2013,0,0,1,0,0,1
-121.94688,36.51366043,2013,0,0,0,0,0,1
-121.94053,36.56087112,2013,0,0,1,1,0,1
-121.9073,36.62120056,2013,0,0,0,1,0,1
-121.86317,36.28060913,2013,1,0,1,1,0,1
-121.49034,35.97964859,2013,1,0,0,1,0,1
-121.31866,35.72882843,2013,0,0,0,1,0,1
-120.94982,35.44739151,2013,1,0,0,1,0,1
-120.88325,35.28966141,2013,1,0,1,1,0,1
-120.69668,35.1688118,2013,0,0,0,1,0,1
-120.63954,34.88122177,2013,1,0,1,0,0,1
-120.61546,34.73038101,2013,0,0,0,1,0,1
-120.61167,34.55387878,2013,0,0,0,0,0,1
-120.27738,34.4671402,2013,1,0,0,1,0,0
-120.1454,34.47343826,2013,1,0,0,1,0,0
-119.87804,34.40692902,2013,0,0,0,1,0,0
-119.51407,34.38703156,2013,1,0,0,1,0,0
-119.44073,34.35548019,2013,1,0,0,1,0,0
-118.99779,34.06612015,2013,0,0,0,0,0,0
-118.79225,34.01200867,2013,1,0,0,1,0,0
-118.31961,33.71538925,2013,0,0,0,0,0,0
-118.28599,33.70679092,2013,1,0,0,1,0,1
-117.83773,33.57078171,2013,1,0,0,1,1,1
-117.79941,33.54476929,2013,0,0,0,0,0,1
-117.75793,33.51335144,2013,0,0,0,0,0,1
-117.71475,33.4598999,2013,0,0,0,0,0,1
-124.40077,43.30894089,2014,1,0,1,1,1,0
-124.38786,42.22814178,2014,1,0,1,1,0,0
-124.36317,40.3409996,2014,0,0,1,0,0,0
-124.27531,47.30255127,2014,0,0,0,1,0,0
-124.14257,41.68999863,2014,0,0,1,0,0,0
-124.12784,41.65248871,2014,0,0,0,1,0,0
-124.11443,44.24456024,2014,0,0,1,1,0,0
-124.10643,41.59476089,2014,0,0,1,0,0,0
-124.07366,40.02254105,2014,0,0,1,0,0,0
-124.05875,44.83863831,2014,1,0,1,1,0,0
-123.98031,45.91809082,2014,0,0,1,1,0,0
-123.78887,39.60411835,2014,0,0,1,1,0,1
-123.48864,38.73049927,2014,0,0,1,0,1,1
-123.07365,38.31819916,2014,1,0,1,0,0,0
-122.23493,37.04425049,2014,1,0,1,1,0,1
-122.15503,36.9801712,2014,1,0,1,1,0,1
-122.06457,36.94841003,2014,0,0,1,0,0,1
-121.94688,36.51366043,2014,0,0,0,0,0,1
-121.94053,36.56087112,2014,0,0,1,1,0,1
-121.9073,36.62120056,2014,0,0,0,1,0,1
-121.86317,36.28060913,2014,1,0,1,1,0,1
-121.49034,35.97964859,2014,0,0,0,1,0,1
-121.31866,35.72882843,2014,1,0,0,1,0,1
-120.94982,35.44739151,2014,0,0,0,1,0,1
-120.88325,35.28966141,2014,0,0,0,0,0,1
-120.69668,35.1688118,2014,0,0,0,1,0,1
-120.63954,34.88122177,2014,1,0,0,0,0,1
-120.61546,34.73038101,2014,1,0,1,1,0,1
-120.61167,34.55387878,2014,0,0,1,0,0,1
-120.45655,34.4433403,2014,0,0,0,1,0,1
-120.27738,34.4671402,2014,1,0,0,1,0,0
-120.1454,34.47343826,2014,0,0,0,1,0,0
-119.87804,34.40692902,2014,0,0,0,1,0,0
-119.51407,34.38703156,2014,1,0,0,1,0,0
-119.44073,34.35548019,2014,1,0,0,1,0,0
-118.99779,34.06612015,2014,1,0,0,0,0,0
-118.79225,34.01200867,2014,1,0,0,1,0,0
-118.31961,33.71538925,2014,0,0,0,0,0,0
-118.28599,33.70679092,2014,1,0,0,1,0,1
-117.83773,33.57078171,2014,1,0,0,1,1,1
-117.79941,33.54476929,2014,0,0,0,0,0,1
-117.75793,33.51335144,2014,0,0,0,0,0,1
-117.71475,33.4598999,2014,0,0,0,0,0,1
-124.40077,43.30894089,2015,1,0,1,1,1,0
-124.38786,42.22814178,2015,0,0,1,1,0,0
-124.36317,40.3409996,2015,0,0,1,0,0,0
-124.27531,47.30255127,2015,0,0,0,1,0,0
-124.14257,41.68999863,2015,0,0,1,0,0,0
-124.12784,41.65248871,2015,0,0,0,1,0,0
-124.11443,44.24456024,2015,0,0,1,1,0,0
-124.10643,41.59476089,2015,0,0,1,0,0,0
-124.07366,40.02254105,2015,0,0,1,0,0,0
-124.05875,44.83863831,2015,1,0,1,1,0,0
-123.98031,45.91809082,2015,0,0,1,1,0,0
-123.78887,39.60411835,2015,1,0,1,1,0,0
-123.48864,38.73049927,2015,0,0,1,0,0,1
-123.07365,38.31819916,2015,1,0,1,0,0,0
